     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella  48 17:20:23  -179859.305802       0.2499       0.0000       0.0018       0.8763
Sella  49 17:30:06  -179859.308506       0.2338       0.0000       0.0020       0.9760
Sella  50 17:39:47  -179859.311466       0.2541       0.0000       0.0020       0.8791
Sella  51 17:49:38  -179859.314313       0.2530       0.0000       0.0020       0.9287
Sella  52 17:59:19  -179859.317335       0.2482       0.0000       0.0020       0.8811
Sella  53 18:09:05  -179859.319680       0.2001       0.0000       0.0020       0.9476
Sella  54 18:18:45  -179859.322258       0.2280       0.0000       0.0024       0.9943
Sella  55 18:28:44  -179859.324713       0.2436       0.0000       0.0024       0.8805
Sella  56 18:38:25  -179859.327196       0.2322       0.0000       0.0024       0.9096
Sella  57 18:48:13  -179859.329542       0.2219       0.0000       0.0024       0.9495
Sella  58 18:58:07  -179859.332014       0.2022       0.0000       0.0024       0.9256
Sella  59 19:07:47  -179859.334321       0.2073       0.0000       0.0024       0.9353
Sella  60 19:17:24  -179859.336366       0.1996       0.0000       0.0024       0.9413
Sella  61 19:27:03  -179859.338411       0.2040       0.0000       0.0024       0.9227
Sella  62 19:36:56  -179859.340306       0.2017       0.0000       0.0024       0.9138
Sella  63 19:46:36  -179859.342218       0.1912       0.0000       0.0024       0.9114
Sella  64 19:56:27  -179859.344126       0.1999       0.0000       0.0024       0.8953
Sella  65 20:06:05  -179859.345935       0.1923       0.0000       0.0024       0.8748
Sella  66 20:15:46  -179859.347525       0.1631       0.0000       0.0024       0.9194
Sella  67 20:25:35  -179859.349128       0.1709       0.0000       0.0024       0.9161
Sella  68 20:35:20  -179859.350864       0.1776       0.0000       0.0024       0.9325
Sella  69 20:44:56  -179859.352403       0.1670       0.0000       0.0024       0.9223
Sella  70 20:54:40  -179859.353755       0.1607       0.0000       0.0024       0.8182
Sella  71 21:04:28  -179859.355225       0.1246       0.0000       0.0024       0.8491
Sella  72 21:14:11  -179859.356600       0.1277       0.0000       0.0024       0.9021
Sella  73 21:23:56  -179859.357876       0.1391       0.0000       0.0024       0.9007
Sella  74 21:33:30  -179859.359052       0.0918       0.0000       0.0024       0.8085
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 21:52:52  -179859.359054       0.0968       0.0000       0.1000       1.0000
Sella   1 09:59:38  -179859.196901       1.0915       0.0000       0.0650      -0.0022
Sella   2 10:09:33  -179859.182888       0.8201       0.0000       0.0423      -0.0008
Sella   3 10:19:44  -179859.167486       1.0974       0.0000       0.0275      -0.0017
Sella   4 10:29:43  -179859.166272       0.6949       0.0000       0.0179      -0.0003
Sella   5 10:39:43  -179859.162373       0.9090       0.0000       0.0116      -0.0024
Sella   6 10:49:44  -179859.166173       0.8093       0.0000       0.0075       0.0069
Sella   7 10:59:40  -179859.170201       0.6287       0.0000       0.0049       0.0127
Sella   8 11:09:36  -179859.176311       0.6458       0.0000       0.0032       0.0715
Sella   9 11:19:28  -179859.179156       0.6339       0.0000       0.0021       0.0550
Sella  10 11:29:30  -179859.182305       0.6010       0.0000       0.0013       0.1167
Sella  11 11:39:22  -179859.185491       0.6355       0.0000       0.0013       0.3262
Sella  12 11:49:16  -179859.187977       0.6129       0.0000       0.0013       0.2544
Sella  13 11:59:03  -179859.190629       0.5863       0.0000       0.0013       0.3146
Sella  14 12:08:58  -179859.192982       0.6069       0.0000       0.0013       0.3648
Sella  15 12:18:48  -179859.195080       0.6227       0.0000       0.0013       0.3267
Sella  16 12:28:40  -179859.197616       0.6172       0.0000       0.0013       0.3297
Sella  17 12:38:47  -179859.200139       0.5982       0.0000       0.0013       0.3250
Sella  18 12:48:49  -179859.202618       0.6058       0.0000       0.0013       0.3335
Sella  19 12:58:36  -179859.205032       0.5726       0.0000       0.0013       0.4938
Sella  20 13:08:37  -179859.207411       0.5964       0.0000       0.0013       0.3337
Sella  21 13:18:25  -179859.209841       0.5822       0.0000       0.0013       0.5449
Sella  22 13:28:06  -179859.212603       0.6148       0.0000       0.0013       0.4806
Sella  23 13:37:51  -179859.215395       0.5651       0.0000       0.0013       0.4616
Sella  24 13:47:41  -179859.218055       0.6028       0.0000       0.0013       0.5863
Sella  25 13:57:41  -179859.220988       0.5872       0.0000       0.0013       0.5666
Sella  26 14:07:49  -179859.223822       0.5922       0.0000       0.0013       0.4972
Sella  27 14:17:39  -179859.227095       0.5567       0.0000       0.0013       0.8373
Sella  28 14:27:32  -179859.230542       0.5489       0.0000       0.0013       0.6783
Sella  29 14:37:29  -179859.234035       0.5364       0.0000       0.0013       0.7746
Sella  30 14:47:14  -179859.237524       0.5292       0.0000       0.0013       0.9386
Sella  31 14:57:17  -179859.241157       0.5557       0.0000       0.0015       0.9926
Sella  32 15:07:12  -179859.245034       0.5024       0.0000       0.0015       0.9620
Sella  33 15:16:57  -179859.249003       0.5256       0.0000       0.0015       0.9527
Sella  34 15:26:50  -179859.252727       0.5064       0.0000       0.0018       0.9803
Sella  35 15:36:59  -179859.256952       0.4660       0.0000       0.0020       1.0018
Sella  36 15:46:47  -179859.261954       0.5001       0.0000       0.0020       0.9510
Sella  37 15:56:40  -179859.266287       0.4669       0.0000       0.0024       0.9696
Sella  38 16:06:25  -179859.271463       0.4493       0.0000       0.0027       0.9688
Sella  39 16:16:22  -179859.277334       0.4304       0.0000       0.0027       0.7138
Sella  40 16:26:15  -179859.282720       0.4002       0.0000       0.0027       0.9281
Sella  41 16:36:12  -179859.288334       0.3775       0.0000       0.0027       0.9401
Sella  42 16:45:57  -179859.293394       0.3773       0.0000       0.0027       0.9400
Sella  43 16:55:50  -179859.298161       0.3971       0.0000       0.0031       0.9715
Sella  44 17:05:46  -179859.302775       0.3553       0.0000       0.0031       0.8432
Sella  45 17:15:30  -179859.307916       0.3677       0.0000       0.0031       0.9579
Sella  46 17:25:21  -179859.312525       0.3680       0.0000       0.0031       0.9427
Sella  47 17:35:26  -179859.316705       0.3319       0.0000       0.0036       0.9825
Sella  48 17:45:21  -179859.321754       0.3498       0.0000       0.0041       0.9793
Sella  49 17:55:07  -179859.326739       0.3437       0.0000       0.0041       0.9588
Sella  50 18:04:55  -179859.331319       0.2971       0.0000       0.0041       0.9074
Sella  51 18:14:48  -179859.336148       0.2879       0.0000       0.0041       0.6570
Sella  52 18:24:49  -179859.340420       0.2586       0.0000       0.0041       0.9224
Sella  53 18:34:39  -179859.344333       0.2294       0.0000       0.0041       0.9291
Sella  54 18:44:48  -179859.348328       0.1967       0.0000       0.0041       0.6867
Sella  55 18:54:46  -179859.352148       0.2008       0.0000       0.0041       0.6835
Sella  56 19:04:51  -179859.355533       0.1500       0.0000       0.0041       0.8102
Sella  57 19:14:53  -179859.358635       0.1711       0.0000       0.0041       0.5942
Sella  58 19:25:04  -179859.361779       0.1518       0.0000       0.0041       0.7682
Sella  59 19:35:01  -179859.363948       0.1504       0.0000       0.0041       0.5438
Sella  60 19:45:03  -179859.366843       0.1568       0.0000       0.0041       0.7779
Sella  61 19:55:02  -179859.369332       0.1497       0.0000       0.0041       0.8337
Sella  62 20:05:06  -179859.371748       0.1486       0.0000       0.0041       0.8299
Sella  63 20:15:01  -179859.374020       0.1514       0.0000       0.0041       0.7600
Sella  64 20:24:56  -179859.376524       0.1581       0.0000       0.0041       0.8558
Sella  65 20:34:52  -179859.379193       0.1584       0.0000       0.0041       0.8450
Sella  66 20:44:40  -179859.381413       0.1483       0.0000       0.0041       0.8229
Sella  67 20:54:36  -179859.383546       0.1192       0.0000       0.0041       0.9065
Sella  68 21:04:28  -179859.385875       0.1512       0.0000       0.0041       0.7776
Sella  69 21:14:19  -179859.387738       0.1078       0.0000       0.0041       0.8382
Sella  70 21:24:09  -179859.389427       0.0874       0.0000       0.0041       0.7722
Sella  71 21:34:09  -179859.390979       0.0924       0.0000       0.0041       0.8200
